team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name
56,3,42,29,1323,6.9,0,0,0,3,26,0,0,0,4,0,0,0,223,250.6,155.4,37,44.4,0.1,Bryan,Oviedo
11,3,59,13,460,2.2,0,0,0,0,6,0,0,0,1,0,0,0,53,54.6,150.8,115,32,0.8,Gerard,Deulofeu
11,3,55,22,509,4,0,1,0,2,5,0,0,0,0,0,0,0,104,78,93.4,54,22.3,0.2,Aaron,Lennon
11,4,101,221,3266,21.9,25,6,6,13,42,0,0,0,3,0,0,33,824,1171.6,701.4,1670,354.1,32.2,Romelu,Lukaku
11,4,51,6,78,1.2,0,0,0,0,3,0,0,0,0,0,0,0,17,7.8,19.6,22,4.9,0.7,Arouna,Koné
88,4,55,44,1096,8,4,1,1,2,30,0,0,0,3,1,0,3,125,205.8,163,417,76.8,0.4,Oumar,Niasse
88,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allan,McGregor
88,1,41,86,1980,21,0,0,3,5,36,0,2,0,0,0,73,7,431,554.2,0.3,4,55.8,21.9,Eldin,Jakupovic
88,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,Brian,Lenihan
88,2,49,38,2135,7.8,0,2,1,1,53,1,0,0,4,0,0,3,368,644.6,33,128,80.5,1.3,Curtis,Davies
88,2,42,46,1722,11,3,0,2,1,44,1,0,0,4,0,0,4,311,573.6,46.3,236,85.5,0.5,Michael,Dawson
88,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moses,Odubajo
88,2,44,73,2736,16.6,1,2,0,5,59,0,0,0,5,0,0,4,488,502.6,352.8,100,95.6,1.9,Andrew,Robertson
88,2,44,71,2307,16.1,2,3,0,4,53,0,0,0,5,0,0,5,483,707.6,157.2,439,130.6,0.8,Harry,Maguire
88,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,Alex,Bruce
21,3,55,133,2548,24.2,7,6,2,3,56,0,0,0,2,0,0,16,503,550.2,1050.1,538,212.3,6.3,Robert,Snodgrass
88,3,47,87,3186,18.5,3,1,0,5,75,0,0,0,9,1,0,4,509,482.2,344.2,405,122.5,0.2,Sam,Clucas
35,3,47,77,2970,16.4,1,1,0,4,62,0,0,0,5,1,0,2,458,556.4,323.5,283,116.5,0.1,Jake,Livermore
88,3,46,62,2523,13.5,0,2,0,3,63,1,0,0,3,1,0,1,428,464.4,428.6,108,99.9,0.2,Ahmed,Elmohamady
88,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mohamed,Diamé
88,3,45,62,2025,13.8,1,2,1,4,47,1,0,0,5,1,0,5,348,344.4,300.3,130,77.6,0.2,Tom,Huddlestone
88,3,44,33,962,7.5,1,0,0,2,23,0,0,0,2,0,0,0,179,164.6,123.6,81,37.1,0.2,David,Meyler
88,3,43,24,283,5.6,1,2,1,1,7,0,0,0,0,0,0,2,86,104.6,70.4,58,23.4,0.5,Shaun,Maloney
88,4,59,72,1425,12.2,4,4,2,4,23,0,0,0,0,0,0,6,208,219.4,190.4,532,93.6,0.9,Abel,Hernández
88,4,43,42,1171,9.8,2,0,0,2,29,0,0,0,1,0,0,2,127,141,195.4,259,58.7,3.6,Adama,Diomande
13,1,49,109,2666,22.2,0,0,1,8,47,0,0,0,1,0,113,10,585,757.4,0,0,75.8,6,Kasper,Schmeichel
13,1,44,17,754,3.9,0,0,0,1,16,0,0,0,0,0,18,0,119,136,0,2,13.9,0.3,Ron-Robert,Zieler
13,2,46,63,2430,13.7,1,1,0,5,45,0,0,0,3,0,0,0,360,480,48.4,284,81.4,10.3,Wes,Morgan
13,2,53,104,3103,19.6,2,4,1,8,57,0,0,0,10,0,0,10,679,802,536.4,152,149.4,5.7,Christian,Fuchs
31,2,47,47,1139,10,0,2,0,3,17,0,0,0,0,0,0,4,237,214.2,100.4,65,38.1,0.3,Jeffrey,Schlupp
13,2,39,1,90,0.3,0,0,0,0,2,0,0,0,0,0,0,0,10,10.8,0.3,0,1.1,1.8,Marcin,Wasilewski
13,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,Ritchie,de Laet
13,2,49,85,2988,17.3,0,3,1,9,50,0,0,0,12,0,0,4,529,531.2,199,50,77.9,2.1,Danny,Simpson
13,2,49,88,2926,18,2,2,0,9,49,2,0,0,9,0,0,1,479,701,69.4,477,124.9,1.8,Robert,Huth
13,2,40,27,917,6.8,0,0,0,4,15,0,0,0,4,0,0,0,156,158.2,22,54,23.6,1,Yohan,Benalouane
13,2,42,3,327,0.7,0,0,0,0,8,0,0,0,1,0,0,0,50,57.6,62,0,12,0.3,Luis,Hernández
13,3,89,120,2826,13.5,6,4,0,9,48,0,0,2,4,0,0,9,437,573,802.1,898,227.8,8.2,Riyad,Mahrez
13,3,50,95,2412,19,2,6,0,8,47,0,0,0,5,0,0,3,468,483.8,719.8,272,147.6,2.5,Marc,Albrighton
13,3,47,41,1446,8.7,1,0,0,1,26,0,0,0,4,0,0,1,217,258.4,122.7,167,54.9,0.2,Andy,King
13,3,53,69,2466,13,1,1,0,8,44,0,0,0,6,0,0,3,384,401.8,307.1,213,92,3.6,Daniel,Drinkwater
13,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,Gökhan,Inler
13,3,48,58,1049,12.1,1,4,0,4,20,0,0,0,2,0,0,0,210,220.4,268.8,233,72.2,0.5,Demarai,Gray
13,3,43,53,1673,12.3,1,1,1,4,35,0,0,0,3,0,0,3,262,254.4,204,109,57,0.2,Daniel,Amartey
13,3,44,6,269,1.4,0,0,0,1,5,0,0,0,1,0,0,0,26,16.8,24.9,0,4,0.3,Nampalys,Mendy
13,4,99,161,2801,16.3,13,8,3,7,57,0,0,0,2,1,0,24,555,629.8,450.4,955,202.5,13.9,Jamie,Vardy
13,4,55,24,447,4.4,1,0,0,2,5,0,0,0,0,0,0,1,56,60.8,55.7,262,37.4,0.1,Leonardo,Ulloa
13,4,56,63,1565,11.3,3,1,0,7,26,0,0,0,1,0,0,3,220,181.2,262,471,90.4,1.6,Shinji,Okazaki
13,4,69,39,761,5.7,2,0,0,1,20,0,0,0,1,0,0,5,131,132.6,120.8,232,47.7,3,Ahmed,Musa
14,1,48,110,2520,22.9,0,0,1,9,30,0,2,0,0,0,52,7,506,461.2,0,0,46,3.5,Simon,Mignolet
14,1,43,32,900,7.4,0,0,0,3,12,0,0,0,0,0,20,0,153,149.4,0,0,15,0.7,Loris,Karius
31,2,47,35,686,7.4,0,0,1,4,6,0,0,0,0,0,0,6,155,143.4,48.7,40,23.2,0.6,Mamadou,Sakho
14,2,49,106,2553,21.6,2,1,0,11,31,0,0,0,6,0,0,6,589,715.4,119.2,236,107.1,5.6,Dejan,Lovren
14,2,44,15,305,3.4,0,1,0,0,7,0,0,0,1,0,0,1,79,64.6,78.3,32,17.5,1.4,Alberto,Moreno
14,2,59,129,3323,21.9,0,2,1,12,41,0,0,0,0,0,0,13,735,512,716.5,294,152.4,10.3,Nathaniel,Clyne
90,2,43,9,360,2.1,0,0,0,1,4,0,0,0,2,0,0,0,55,63.8,16.4,0,8,0.2,Jon,Flanagan
